aX,aY,aZ,gX,gY,gZ
-0.181,-0.454,0.879,0.061,-6.47,-0.854
-0.196,-0.454,0.866,2.136,-4.822,-2.563
-0.222,-0.439,0.851,4.883,-4.395,-5.188
-0.254,-0.43,0.813,6.531,-4.272,-7.507
-0.276,-0.411,0.807,6.409,-5.127,-8.85
-0.312,-0.4,0.787,4.883,-5.92,-9.338
-0.334,-0.404,0.774,2.991,-5.676,-8.057
-0.363,-0.395,0.776,2.38,-4.089,-5.066
-0.359,-0.378,0.773,2.075,-0.61,-0.427
-0.341,-0.389,0.786,0.671,3.113,4.211
-0.309,-0.426,0.797,-1.709,5.92,7.141
-0.283,-0.447,0.828,-3.906,7.324,8.789
-0.271,-0.456,0.847,-4.395,7.751,8.484
-0.267,-0.452,0.841,-3.784,7.019,7.08
-0.243,-0.459,0.827,-2.991,5.066,6.042
-0.237,-0.451,0.837,-2.319,2.319,4.089
-0.257,-0.43,0.848,-2.808,0.061,1.16
-0.288,-0.414,0.869,-2.93,-1.404,0.183
-0.291,-0.413,0.858,-2.197,-2.502,2.136
-0.284,-0.419,0.854,-2.197,-2.869,4.883
-0.278,-0.432,0.851,-3.662,-3.479,6.836
-0.256,-0.444,0.859,-4.578,-3.906,8.484
-0.248,-0.452,0.854,-3.967,-3.601,9.155
-0.237,-0.457,0.85,-2.563,-3.418,9.46
-0.225,-0.45,0.837,-1.892,-2.747,9.338
-0.224,-0.443,0.825,-2.563,-2.441,7.507
-0.219,-0.449,0.828,-2.869,-1.77,4.944
-0.217,-0.451,0.824,-2.197,-0.366,2.319
-0.222,-0.44,0.814,-1.831,0.549,0.244
-0.238,-0.427,0.814,-2.625,-0.122,-0.366
-0.243,-0.427,0.822,-4.028,-0.732,0.549
-0.252,-0.419,0.828,-5.371,-0.427,2.258
-0.244,-0.428,0.842,-6.836,0.305,3.967
-0.245,-0.444,0.859,-7.935,1.221,4.395
-0.251,-0.452,0.873,-7.935,1.77,4.456
-0.253,-0.446,0.887,-6.348,2.075,4.883
-0.249,-0.437,0.883,-4.395,2.502,5.127
-0.239,-0.424,0.87,-3.54,2.075,4.7
-0.238,-0.431,0.861,-4.333,0.244,3.418
-0.239,-0.43,0.862,-4.761,-1.465,2.258
-0.231,-0.433,0.843,-4.944,-1.648,1.953
-0.231,-0.431,0.848,-6.104,-1.343,1.831
-0.233,-0.427,0.852,-7.568,-1.16,2.014
-0.233,-0.429,0.861,-8.179,-1.038,2.563
-0.233,-0.434,0.868,-8.362,-1.221,2.563
-0.235,-0.432,0.874,-8.606,-1.404,2.441
-0.238,-0.428,0.884,-8.911,-1.648,1.77
-0.24,-0.431,0.907,-8.728,-4.272,0.488
-0.249,-0.421,0.88,-7.874,-4.883,0.122
-0.24,-0.44,0.895,-7.019,-5.676,-0.427
-0.247,-0.425,0.881,-5.31,-4.7,0.366
-0.246,-0.418,0.879,-3.601,-3.235,1.465
-0.238,-0.407,0.873,-3.601,-1.16,2.502
-0.259,-0.425,0.903,-3.723,-0.916,2.075
-0.276,-0.444,0.973,-2.869,-0.793,2.808
-0.253,-0.439,0.984,-1.953,-1.709,3.357
-0.243,-0.431,0.952,-1.465,-4.028,1.648
-0.239,-0.423,0.906,-0.183,-5.249,0.061
-0.228,-0.411,0.867,0.488,-3.967,-0.305
-0.228,-0.4,0.848,0,-2.502,-0.183
-0.228,-0.404,0.851,-0.732,-1.587,0.061
-0.224,-0.416,0.866,-1.282,-0.549,-0.061
-0.221,-0.416,0.876,-0.793,0.61,0
-0.231,-0.405,0.897,-0.427,1.038,-0.671
-0.242,-0.404,0.915,-0.061,0.488,-1.099
-0.249,-0.397,0.923,1.282,0.061,-0.732
-0.239,-0.401,0.892,2.808,-0.061,-0.549
-0.234,-0.421,0.847,3.113,0.061,-0.732
-0.233,-0.412,0.837,1.648,-1.038,-0.732
-0.245,-0.405,0.873,-0.671,-3.174,-0.61
-0.24,-0.408,0.881,-0.671,-2.869,-0.671
-0.239,-0.408,0.875,0.793,-1.221,-0.916
,,,,,
-0.089,-0.659,2.055,25.635,65.552,39.246
-0.073,-0.645,2.154,42.908,62.683,26.489
-0.021,-0.632,2.169,65.857,63.232,12.512
0.005,-0.605,2.14,90.637,62.744,3.479
0.022,-0.563,2.091,111.938,59.326,-0.122
0.032,-0.496,2.074,135.01,52.49,0.916
0.113,-0.463,2.005,155.701,50.964,3.906
0.173,-0.426,1.858,166.626,53.65,0.061
0.203,-0.401,1.722,169.8,49.5,-8.057
0.205,-0.404,1.622,172.424,34.119,-18.005
0.177,-0.328,1.475,178.467,19.836,-27.954
0.126,-0.183,1.401,190.308,14.771,-33.386
0.113,-0.114,1.352,199.097,16.541,-31.006
0.13,-0.103,1.248,198.059,23.682,-27.893
0.165,-0.172,1.206,195.74,26.855,-25.818
0.229,-0.261,1.139,192.81,27.771,-27.039
0.219,-0.227,1.02,191.956,26.489,-36.194
0.131,-0.142,1.09,195.74,18.25,-44.128
0.14,-0.125,1.087,195.801,13.916,-43.457
0.135,-0.14,0.949,199.768,15.503,-43.335
0.141,-0.236,0.824,213.013,9.705,-44.434
0.154,-0.225,0.6,221.863,5.493,-48.523
0.105,-0.192,0.431,222.595,1.892,-56.458
0.055,-0.182,0.363,216.919,-3.174,-58.96
-0.025,-0.162,0.318,207.397,-4.578,-58.044
